survived,pclass,sex,age,sibsp,parch,fare,embarked
0,3,male,-0.544795716251218,1,0,-0.529048807969089,S
1,1,female,0.5987349402444708,1,0,0.6958842991242256,C
1,3,female,-0.2589130521272958,0,0,-0.5161363101392413,S
1,1,female,0.3843229421515292,1,0,0.3480445631398259,S
0,3,male,0.3843229421515292,0,0,-0.5137451068374177,S
0,3,male,-0.3303837181582764,0,0,-0.5059344803723409,Q
0,1,male,1.7422655967401597,0,0,0.32437165045177163,S
0,3,male,-1.9742090368708292,3,1,-0.26458172278739334,S
1,3,female,-0.18744238609631528,0,2,-0.45476272971331483,S
1,2,female,-1.1165610444990626,1,0,-0.09249542948703181,C
1,3,female,-1.8312677048088681,1,1,-0.3482738383512211,S
1,1,female,2.0281482608640817,0,0,-0.15984701816751742,S
0,3,male,-0.6877370483131792,0,0,-0.5137451068374177,S
0,3,male,0.6702056062754514,1,5,-0.06945953335858349,S
0,3,female,-1.1165610444990626,0,0,-0.5174906876893942,S
1,2,female,1.8137362627711402,0,0,-0.3616645768414335,S
0,3,male,-1.9742090368708292,4,1,-0.11058823014995024,Q
1,2,male,0.026969611996626397,0,0,-0.4190534560852011,S
0,3,female,0.09844027802760695,1,0,-0.32340532401225514,S
1,3,female,-0.5805310492667083,0,0,-0.5295270486294538,C
0,2,male,0.3843229421515292,0,0,-0.1703683126955415,S
1,2,male,0.3128522761205486,0,0,-0.4190534560852011,S
1,3,female,-1.0450903784680818,0,0,-0.5141430030668411,Q
1,1,male,-0.11597172006533471,0,0,0.011363138243055909,S
0,3,female,-1.5453850406849459,3,1,-0.26458172278739334,S
1,3,female,0.5987349402444708,1,5,-0.06730745038694219,S
0,3,male,-0.3303837181582764,0,0,-0.5295270486294538,C
0,1,male,-0.7592077143441597,3,2,4.3633531475620995,S
1,3,female,-0.5805310492667083,0,0,-0.5170124470290295,Q
0,3,male,-0.3303837181582764,0,0,-0.5166948952305473,S
0,1,male,0.741676272306432,0,0,-0.1374500515613164,C
1,1,female,0.3843229421515292,1,0,2.1351495664918807,C
1,3,female,-0.5805310492667083,0,0,-0.5194839947617944,Q
0,2,male,2.5999135891119263,0,0,-0.4668775221216741,S
0,1,male,-0.11597172006533471,1,0,0.9041581067130656,C
0,1,male,0.8846176043683931,1,0,0.32700197408377774,S
1,3,male,-0.3303837181582764,0,0,-0.5294467041985125,C
0,3,male,-0.6162663822821985,0,0,-0.5137451068374177,S
0,3,female,-0.8306783803751403,2,0,-0.32340532401225514,S
1,3,female,-1.1165610444990626,1,0,-0.4526890782099733,C
0,3,female,0.741676272306432,1,0,-0.48648538919662804,S
0,2,female,-0.18744238609631528,1,0,-0.2660164447684875,S
